2012-04-02 00:00:00, 4.0, 7.0
2012-04-02 00:00:00, 5.0, 7.0
2012-04-02 00:00:00, 6.0, 7.0
2012-04-02 00:00:00, 7.0, 7.0
2012-02-22 00:00:00, 1.0, 5.0
2012-02-22 00:00:00, 2.0, 5.0
2012-02-22 00:00:00, 3.0, 5.0
2012-02-22 00:00:00, 4.0, 5.0
2012-02-22 00:00:00, 5.0, 5.0
2012-05-20 00:00:00, 1.0, 6.0
2012-05-20 00:00:00, 2.0, 6.0
2012-05-20 00:00:00, 3.0, 6.0
2012-05-20 00:00:00, 4.0, 6.0
2012-05-20 00:00:00, 5.0, 6.0
2012-05-20 00:00:00, 6.0, 6.0
2007-04-16 00:00:00, 1.0, 33.0
2007-04-16 00:00:00, 2.0, 33.0
2007-04-16 00:00:00, 3.0, 33.0
2007-04-16 00:00:00, 4.0, 33.0
2007-04-16 00:00:00, 5.0, 33.0
2007-04-16 00:00:00, 6.0, 33.0
2007-04-16 00:00:00, 7.0, 33.0
2007-04-16 00:00:00, 8.0, 33.0
2007-04-16 00:00:00, 9.0, 33.0
2007-04-16 00:00:00, 10.0, 33.0
2007-04-16 00:00:00, 11.0, 33.0
2007-04-16 00:00:00, 12.0, 33.0
2007-04-16 00:00:00, 13.0, 33.0
2007-04-16 00:00:00, 14.0, 33.0
2007-04-16 00:00:00, 15.0, 33.0
2007-04-16 00:00:00, 16.0, 33.0
2007-04-16 00:00:00, 17.0, 33.0
2007-04-16 00:00:00, 18.0, 33.0
2007-04-16 00:00:00, 19.0, 33.0
2007-04-16 00:00:00, 20.0, 33.0
2007-04-16 00:00:00, 21.0, 33.0
2007-04-16 00:00:00, 22.0, 33.0
2007-04-16 00:00:00, 23.0, 33.0
2007-04-16 00:00:00, 24.0, 33.0
2007-04-16 00:00:00, 25.0, 33.0
2007-04-16 00:00:00, 26.0, 33.0
2007-04-16 00:00:00, 27.0, 33.0
2007-04-16 00:00:00, 28.0, 33.0
2007-04-16 00:00:00, 29.0, 33.0
2007-04-16 00:00:00, 30.0, 33.0
2007-04-16 00:00:00, 31.0, 33.0
2007-04-16 00:00:00, 32.0, 33.0
2007-04-16 00:00:00, 33.0, 33.0
1991-10-16 00:00:00, 1.0, 24.0
1991-10-16 00:00:00, 2.0, 24.0
1991-10-16 00:00:00, 3.0, 24.0
1991-10-16 00:00:00, 4.0, 24.0
1991-10-16 00:00:00, 5.0, 24.0
1991-10-16 00:00:00, 6.0, 24.0
1991-10-16 00:00:00, 7.0, 24.0
1991-10-16 00:00:00, 8.0, 24.0
1991-10-16 00:00:00, 9.0, 24.0
1991-10-16 00:00:00, 10.0, 24.0
1991-10-16 00:00:00, 11.0, 24.0
1991-10-16 00:00:00, 12.0, 24.0
1991-10-16 00:00:00, 13.0, 24.0
1991-10-16 00:00:00, 14.0, 24.0
1991-10-16 00:00:00, 15.0, 24.0
1991-10-16 00:00:00, 16.0, 24.0
1991-10-16 00:00:00, 17.0, 24.0
1991-10-16 00:00:00, 18.0, 24.0
1991-10-16 00:00:00, 19.0, 24.0
1991-10-16 00:00:00, 20.0, 24.0
1991-10-16 00:00:00, 21.0, 24.0
1991-10-16 00:00:00, 22.0, 24.0
1991-10-16 00:00:00, 23.0, 24.0
1991-10-16 00:00:00, 24.0, 24.0
1984-07-18 00:00:00, 1.0, 21.0
1984-07-18 00:00:00, 2.0, 21.0
1984-07-18 00:00:00, 3.0, 21.0
1984-07-18 00:00:00, 4.0, 21.0
1984-07-18 00:00:00, 5.0, 21.0
1984-07-18 00:00:00, 6.0, 21.0
1984-07-18 00:00:00, 7.0, 21.0
1984-07-18 00:00:00, 8.0, 21.0
1984-07-18 00:00:00, 9.0, 21.0
1984-07-18 00:00:00, 10.0, 21.0
1984-07-18 00:00:00, 11.0, 21.0
1984-07-18 00:00:00, 12.0, 21.0
1984-07-18 00:00:00, 13.0, 21.0
1984-07-18 00:00:00, 14.0, 21.0
1984-07-18 00:00:00, 15.0, 21.0
1984-07-18 00:00:00, 16.0, 21.0
1984-07-18 00:00:00, 17.0, 21.0
1984-07-18 00:00:00, 18.0, 21.0
1984-07-18 00:00:00, 19.0, 21.0
1984-07-18 00:00:00, 20.0, 21.0
1984-07-18 00:00:00, 21.0, 21.0
1966-08-01 00:00:00, 1.0, 18.0
1966-08-01 00:00:00, 2.0, 18.0
1966-08-01 00:00:00, 3.0, 18.0
1966-08-01 00:00:00, 4.0, 18.0
1966-08-01 00:00:00, 5.0, 18.0
1966-08-01 00:00:00, 6.0, 18.0
1966-08-01 00:00:00, 7.0, 18.0
1966-08-01 00:00:00, 8.0, 18.0
1966-08-01 00:00:00, 9.0, 18.0
1966-08-01 00:00:00, 10.0, 18.0
1966-08-01 00:00:00, 11.0, 18.0
1966-08-01 00:00:00, 12.0, 18.0
1966-08-01 00:00:00, 13.0, 18.0
1966-08-01 00:00:00, 14.0, 18.0
1966-08-01 00:00:00, 15.0, 18.0
1966-08-01 00:00:00, 16.0, 18.0
1966-08-01 00:00:00, 17.0, 18.0
1966-08-01 00:00:00, 18.0, 18.0
1986-08-20 00:00:00, 1.0, 15.0
1986-08-20 00:00:00, 2.0, 15.0
1986-08-20 00:00:00, 3.0, 15.0
1986-08-20 00:00:00, 4.0, 15.0
1986-08-20 00:00:00, 5.0, 15.0
1986-08-20 00:00:00, 6.0, 15.0
1986-08-20 00:00:00, 7.0, 15.0
1986-08-20 00:00:00, 8.0, 15.0
1986-08-20 00:00:00, 9.0, 15.0
1986-08-20 00:00:00, 10.0, 15.0
1986-08-20 00:00:00, 11.0, 15.0
1986-08-20 00:00:00, 12.0, 15.0
1986-08-20 00:00:00, 13.0, 15.0
1986-08-20 00:00:00, 14.0, 15.0
1986-08-20 00:00:00, 15.0, 15.0
2009-11-05 00:00:00, 1.0, 13.0
2009-11-05 00:00:00, 2.0, 13.0
2009-11-05 00:00:00, 3.0, 13.0
2009-11-05 00:00:00, 4.0, 13.0
2009-11-05 00:00:00, 5.0, 13.0
2009-11-05 00:00:00, 6.0, 13.0
2009-11-05 00:00:00, 7.0, 13.0
2009-11-05 00:00:00, 8.0, 13.0
2009-11-05 00:00:00, 9.0, 13.0
2009-11-05 00:00:00, 10.0, 13.0
2009-11-05 00:00:00, 11.0, 13.0
2009-11-05 00:00:00, 12.0, 13.0
2009-11-05 00:00:00, 13.0, 13.0
2009-04-03 00:00:00, 1.0, 13.0
2009-04-03 00:00:00, 2.0, 13.0
2009-04-03 00:00:00, 3.0, 13.0
2009-04-03 00:00:00, 4.0, 13.0
2009-04-03 00:00:00, 5.0, 13.0
2009-04-03 00:00:00, 6.0, 13.0
2009-04-03 00:00:00, 7.0, 13.0
